local_order_id,exchange_order_id,kind,side,level,price,local_quantity,local_filled,execution_quantity,venue_final_orig_quantity,status,created_at,quantity_check
order_ba6adc34308f49dca642b735fc7b71c3,58882712058,ENTRY,BUY,0,104.16,0.2,0.2,0.2,0.2,FILLED,2026-08-30 08:49:45.2994056+00:00,PASS
order_ce4fd7af4388483390564cf18f33d198,58882711584,ENTRY,SELL,0,104.66,0.2,0.2,0.2,0.2,FILLED,2026-08-30 08:49:45.3002385+00:00,PASS
order_1a2f2d81b0194a1cb5f39f8d65496672,58883025257,TAKE_PROFIT,BUY,0,102.66,0.2,0.2,0.2,0.2,FILLED,2026-08-30 08:55:54.7034999+00:00,PASS
order_e7457b0dbee34695b7b069f52ed5d050,58883026167,ENTRY,SELL,1,105.16,0.23,0.23,0.23,0.23,FILLED,2026-08-30 08:55:55.2092896+00:00,PASS
order_5cb9b62684574ab0b5285710e32dd4d3,59119207923,TAKE_PROFIT,BUY,1,103.16,0.23,0.23,0.23,0.23,FILLED,2026-09-02 06:05:31.03732+00:00,PASS
order_491105515ef14ce3a88b5b9d467d9cf9,59119208112,TAKE_PROFIT,SELL,0,106.16,0.2,0.2,0.2,0.2,FILLED,2026-09-02 06:05:32.7721778+00:00,PASS
order_615195c02bef4b65be9e49321abeed59,59119208596,ENTRY,BUY,8,100.16,0.66,0.66,0.66,0.66,FILLED,2026-09-02 06:05:33.3647893+00:00,PASS
order_5cf4a705993a4121aa57b5e22e572a81,59119209347,ENTRY,SELL,0,104.66,0.2,0.2,0.2,0.2,FILLED,2026-09-02 06:05:33.3653466+00:00,PASS
order_afb9e55ef8f746098fde7b85bd04dfdf,59119485095,TAKE_PROFIT,SELL,8,102.16,0.39,0.39,0.66,0.66,FILLED,2026-09-02 06:09:05.120308+00:00,FAIL
order_dbe2f2ae4f8a4ebc98173b86cb564360,59119495385,ENTRY,BUY,9,99.66,0.77,0.77,0.77,0.77,FILLED,2026-09-02 06:10:46.0863244+00:00,PASS
order_8067bff01ddd4163b99179264d2faf3d,59125886111,TAKE_PROFIT,SELL,9,101.66,0.77,0.77,0.77,0.77,FILLED,2026-09-02 08:39:34.527498+00:00,PASS
order_aab0efb8e5ec488abf7d9f040bab9739,59125886570,ENTRY,BUY,10,99.16,0.89,0.89,0.89,0.89,FILLED,2026-09-02 08:39:35.5887302+00:00,PASS
order_9e123e8a9d2a4568a8d083ea472c8391,59125950087,TAKE_PROFIT,SELL,10,101.16,0.15,0.15,0.89,0.89,FILLED,2026-09-02 08:40:41.0057242+00:00,FAIL
order_b76333feaf8946329180220d967944fc,59125961844,ENTRY,BUY,11,98.66,1.04,1.04,1.04,1.04,FILLED,2026-09-02 08:40:59.8935244+00:00,PASS
order_1258f0b2f87d441e873c7bde53ccf93c,59126047437,TAKE_PROFIT,SELL,11,100.66,1.04,1.04,1.04,1.04,FILLED,2026-09-02 08:42:27.9204165+00:00,PASS
order_90f58f181d6c4420813e95444d5bde5d,59126047963,ENTRY,BUY,12,98.16,1.21,0,0,1.21,REJECTED,2026-09-02 08:42:28.4387397+00:00,PASS
order_8f42860f34b74e4b9988f24f5d00d37c,59126058376,ENTRY,BUY,13,97.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 08:42:35.8937385+00:00,PASS
order_bc32334e724e43b5b209c34e58d36b5c,59126059889,TAKE_PROFIT,SELL,13,99.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 08:42:37.0963886+00:00,PASS
order_e86bc002d62e482dad6985cc0f9ed031,59126072340,ENTRY,BUY,12,98.16,1.21,1.21,1.21,1.21,FILLED,2026-09-02 08:42:47.8952225+00:00,PASS
order_316ea002e1f744d18772aa8b817580ad,59126370319,TAKE_PROFIT,SELL,12,100.16,1.21,1.21,1.21,1.21,FILLED,2026-09-02 08:47:37.0693073+00:00,PASS
order_e600fb7b20494d35ae2c0f04909be325,59126370553,ENTRY,BUY,13,97.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 08:47:37.5797618+00:00,PASS
order_e7998b383c544732baa8ee8f5a9f2dfa,59126659628,TAKE_PROFIT,SELL,13,99.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 08:52:19.5016801+00:00,PASS
order_d821b2e9543f4a86b499bd4905d75b5d,59126979354,ENTRY,BUY,13,97.66,1.4,0.65,0.65,1.4,CANCELLED,2026-09-02 08:57:27.6902977+00:00,PASS
order_eb9934299be348579e075a9822af1f10,59126980870,TAKE_PROFIT,SELL,13,99.66,0.65,0.65,0.65,0.65,FILLED,2026-09-02 08:57:28.702283+00:00,PASS
order_1c0ffbf2beb2480ab92474eaaf594489,59127577820,ENTRY,BUY,13,97.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 09:07:30.4425205+00:00,PASS
order_d99aa13a5eac4bdd87013f20fe207a1a,59133003250,TAKE_PROFIT,SELL,13,99.66,1.4,1.4,1.4,1.4,FILLED,2026-09-02 10:49:41.1085411+00:00,PASS
order_23423d3036764ada9fa0107c232f38cc,59145706385,ENTRY,BUY,13,97.66,1.4,0,0,1.4,CANCELLED,2026-09-02 14:25:26.0096177+00:00,PASS
order_c670fd7764cd48349b91b692417e32e7,59177026213,ENTRY,BUY,12,98.16,1.21,0,0,1.21,CANCELLED,2026-09-02 23:54:29.1598809+00:00,PASS
order_55be01fd32a84463a3bc8ea7917e3ea7,59185878499,ENTRY,BUY,11,98.66,1.04,0,0,1.04,CANCELLED,2026-09-03 02:31:48.4606569+00:00,PASS
order_639684fab54f44b8a8aecfe31c7e5293,59185894443,ENTRY,BUY,7,100.66,0.57,0.57,0.57,0.57,FILLED,2026-09-03 02:32:05.1059275+00:00,PASS
order_b89550a0754241daa523b5eff97a1976,59185944431,TAKE_PROFIT,SELL,7,102.66,0.57,0.57,0.57,0.57,FILLED,2026-09-03 02:32:52.7365743+00:00,PASS
order_7ded346567124c78a74d33d99f5b4f96,59185944706,ENTRY,BUY,11,98.66,1.04,0,0,1.04,CANCELLED,2026-09-03 02:32:53.3001184+00:00,PASS
order_52cb619aa5b841ceb15d3b6390a5ef8f,59188546124,ENTRY,BUY,10,99.16,0.89,0,0,0.89,CANCELLED,2026-09-03 03:20:06.7614098+00:00,PASS
order_dd11bef3ba5f401aa20871ede5fc0606,59200596342,ENTRY,BUY,6,101.16,0.49,0.49,0.49,0.49,FILLED,2026-09-03 07:04:49.0435537+00:00,PASS
order_e9eaca54593243e2934752f6b93c53cd,59200928612,TAKE_PROFIT,SELL,6,103.16,0.17,0.17,0.49,0.49,FILLED,2026-09-03 07:08:31.591274+00:00,FAIL
order_d1fe302fcdd241f3bf8adfcf1fb9f6bc,59200930579,ENTRY,BUY,10,99.16,0.89,0,0,0.89,CANCELLED,2026-09-03 07:10:26.3613051+00:00,PASS
order_79474ef8e449465d82f1e9812cd0fcfa,59220415356,ENTRY,BUY,9,99.66,0.77,0,0,0.77,CANCELLED,2026-09-03 12:57:14.1506684+00:00,PASS
order_5fb14f6554e34229941b2eb3e4619563,59220450854,ENTRY,BUY,5,101.66,0.42,0.42,0.42,0.42,FILLED,2026-09-03 12:57:51.0968696+00:00,PASS
order_09be6ecdee9e4b8187d033fb1cc8a94a,59220630477,TAKE_PROFIT,SELL,5,103.66,0.42,0.42,0.42,0.42,FILLED,2026-09-03 13:00:39.7872361+00:00,PASS
order_1ea66dd24d2944fc8b41da24876f3a70,59220630874,ENTRY,BUY,9,99.66,0.77,0,0,0.77,CANCELLED,2026-09-03 13:00:40.3313691+00:00,PASS
order_868bf9493e984cbbb6a25da40cb263d2,59225548376,ENTRY,BUY,8,100.16,0.66,0,0,0.66,CANCELLED,2026-09-03 14:22:25.5507989+00:00,PASS
order_61c3f8d0a7a041078f299dde71cffec4,59225550019,ENTRY,BUY,4,102.16,0.36,0,0,0.36,CANCELLED,2026-09-03 14:22:26.7948439+00:00,PASS
order_6a1e4db7150c47cb9197e0c36a431c8e,59225944928,ENTRY,BUY,3,102.66,0.31,0.31,0.31,0.31,FILLED,2026-09-03 14:29:15.0349443+00:00,PASS
order_4b3d622b81fc495c81c7044e235609d7,59226002871,TAKE_PROFIT,SELL,3,104.66,0.15,0.15,0.31,0.31,FILLED,2026-09-03 14:29:22.5304426+00:00,FAIL
order_298a97942b01485696814852d4899ad4,59226005584,ENTRY,BUY,4,102.16,0.36,0,0,0.36,CANCELLED,2026-09-03 14:30:16.3646872+00:00,PASS
order_3f4a24dcd09142b790c51a6931a29f06,59227190121,ENTRY,BUY,2,103.16,0.27,0,0,0.27,CANCELLED,2026-09-03 14:48:29.0882232+00:00,PASS
order_de37aa96f68d459fb99ee5703f355194,59227281944,ENTRY,BUY,1,103.66,0.23,0.23,0.23,0.23,FILLED,2026-09-03 14:49:41.1807378+00:00,PASS
order_ee0e575a37284818b8a820a906d82b64,59227297630,TAKE_PROFIT,SELL,1,105.66,0.23,0.23,0.23,0.23,FILLED,2026-09-03 14:49:55.3123604+00:00,PASS
order_d561813216c14b7eaf6c99d820145ffd,59227298232,ENTRY,BUY,2,103.16,0.27,0,0,0.27,CANCELLED,2026-09-03 14:49:55.753804+00:00,PASS
order_fc92da9ce3b24890abf11b99483f173a,59227949860,TAKE_PROFIT,BUY,0,102.66,0.2,0.2,0.2,0.2,FILLED,2026-09-03 14:59:50.2921262+00:00,PASS
order_cc92d7d7599f4cddaa606d89fadc3eb2,59227950191,ENTRY,SELL,1,105.16,0.23,0.23,0.23,0.23,FILLED,2026-09-03 14:59:50.7382911+00:00,PASS
order_c3f7e7778c6e46edbae72d0ada841592,59227970240,TAKE_PROFIT,BUY,1,103.16,0.23,0.23,0.23,0.23,FILLED,2026-09-03 15:00:06.8932046+00:00,PASS
order_cfed4a4789274a788683f0f6fd1dc05a,59227970794,ENTRY,SELL,2,105.66,0.27,0.27,0.27,0.27,FILLED,2026-09-03 15:00:07.3643023+00:00,PASS
order_3164152dfc0747c88544da3a348e0540,59242820856,TAKE_PROFIT,BUY,2,103.66,0.27,0.27,0.27,0.27,FILLED,2026-09-03 19:04:53.2078875+00:00,PASS
order_70cfe89ececc4f62abd1e2b72075f243,59242822899,ENTRY,BUY,1,103.66,0.23,0.23,0.23,0.23,FILLED,2026-09-03 19:04:54.3754899+00:00,PASS
order_4d48bf135cb44347ba14c38c5a0fa0a8,59242823947,ENTRY,SELL,3,106.16,0.31,0,0,0.31,CANCELLED,2026-09-03 19:04:54.3755241+00:00,PASS
order_b41bd6f297104389aad1572d50648957,59262846765,TAKE_PROFIT,SELL,1,105.66,0.23,0.23,0.23,0.23,FILLED,2026-09-04 01:05:11.013471+00:00,PASS
order_b0eeb37589cf4c8fa3fcc18206daff3d,59262847497,ENTRY,BUY,2,103.16,0.27,0,0,0.27,CANCELLED,2026-09-04 01:05:11.4814483+00:00,PASS
order_062736e77d074e34b7087c37e278b190,59262847971,ENTRY,SELL,2,105.66,0.27,0.27,0.27,0.27,FILLED,2026-09-04 01:05:12.290965+00:00,PASS
order_8a5a7f1ef7c04fc1b1e094d53752c7a2,59298016379,TAKE_PROFIT,BUY,2,103.66,0.27,0.27,0.27,0.27,FILLED,2026-09-04 11:40:25.7800443+00:00,PASS
order_2b3ad24c675644e3ac7fb053ea3459e5,59298018049,ENTRY,BUY,1,103.66,0.23,0.23,0.23,0.23,FILLED,2026-09-04 11:40:27.01401+00:00,PASS
order_ef2c30a0304a443188c3fa3a29f416a7,59298018754,ENTRY,SELL,3,106.16,0.31,0,0,0.31,CANCELLED,2026-09-04 11:40:27.0140681+00:00,PASS
order_66b4a2a35fb042999338eeefc0b0dbd7,59300894085,TAKE_PROFIT,SELL,1,105.66,0.23,0.23,0.23,0.23,FILLED,2026-09-04 12:30:20.847794+00:00,PASS
order_8dc24811d2a6403693de02dc4571e635,59300895814,ENTRY,BUY,2,103.16,0.27,0.27,0.27,0.27,FILLED,2026-09-04 12:30:21.370892+00:00,PASS
order_8750cef183374259b5973af5326253fa,59300896598,ENTRY,SELL,2,105.66,0.27,0,0,0.27,CANCELLED,2026-09-04 12:30:22.0939167+00:00,PASS
order_87ace8d7a96841dabbd33dcf2d5a2a17,59301017384,ENTRY,SELL,1,105.16,0.23,0,0,0.23,CANCELLED,2026-09-04 12:31:42.5057786+00:00,PASS
order_fd0de17dfc4e44ab835b0b5d6d60e99a,59301054409,TAKE_PROFIT,SELL,2,105.16,0.27,0.27,0.27,0.27,FILLED,2026-09-04 12:32:03.9944395+00:00,PASS
order_ca3b80007668459b919e47ec4a17d0b1,59301055253,ENTRY,BUY,3,102.66,0.31,0.31,0.31,0.31,FILLED,2026-09-04 12:32:04.4513881+00:00,PASS
order_31f66c05856c451ab3635e031195de02,59301361821,TAKE_PROFIT,SELL,3,104.66,0.31,0.31,0.31,0.31,FILLED,2026-09-04 12:35:50.0268253+00:00,PASS
order_d3446532c3fd4a65a9dc76b46f9494cf,59301363183,ENTRY,BUY,4,102.16,0.36,0.36,0.36,0.36,FILLED,2026-09-04 12:35:50.4890737+00:00,PASS
order_df36148140774b298981846d4b1b099f,59301363721,ENTRY,SELL,0,104.66,0.2,0,0,0.2,CANCELLED,2026-09-04 12:35:51.1901271+00:00,PASS
order_440ebb92408b445a94c0e8de65115804,59301476024,TAKE_PROFIT,SELL,4,104.16,0.11,0.11,0.36,0.36,FILLED,2026-09-04 12:37:02.2966923+00:00,FAIL
order_55c6b3f3e7c04ce4be2a665a74b504ba,59301480547,ENTRY,BUY,5,101.66,0.42,0.42,0.42,0.42,FILLED,2026-09-04 12:37:08.3585658+00:00,PASS
order_24cc8616fc5642c0ba0f4ae0ef72ba89,59301543794,TAKE_PROFIT,SELL,5,103.66,0.1,0.1,0.42,0.42,FILLED,2026-09-04 12:37:39.3894117+00:00,FAIL
order_6f0e8c8f505a4999a28b261ce6fa6124,59301547875,ENTRY,BUY,6,101.16,0.49,0.49,0.49,0.49,FILLED,2026-09-04 12:37:46.3580724+00:00,PASS
order_840c1d210a4f4186a8a536e585497fbe,59302302582,TAKE_PROFIT,SELL,6,103.16,0.4,0.4,0.49,0.49,FILLED,2026-09-04 12:46:14.9946879+00:00,FAIL
order_56ba5b1bd4de4e3cbb69f6e567cac649,59302314580,ENTRY,BUY,7,100.66,0.57,0.57,0.57,0.57,FILLED,2026-09-04 12:46:22.3586008+00:00,PASS
order_f0dab0ef14d1451f95a09a3473dbf8a8,59314396234,TAKE_PROFIT,SELL,7,102.66,0.57,0.57,0.57,0.57,FILLED,2026-09-04 15:53:22.3447205+00:00,PASS
order_6b2374344b434382937d6c2a27c89a3d,59314396539,ENTRY,BUY,8,100.16,0.66,0,0,0.66,CANCELLED,2026-09-04 15:53:22.8087759+00:00,PASS
order_02db6286c01c4efb8e3da63fe8242a3e,59314441964,ENTRY,BUY,5,101.66,0.42,0,0,0.42,REJECTED,2026-09-04 15:54:08.4664775+00:00,PASS
order_fe0a4e3865054919bc68a0c1d22bb37a,59314442293,ENTRY,BUY,5,101.66,0.42,0,0,0.42,REJECTED,2026-09-04 15:54:08.9620423+00:00,PASS
order_74687548fabf469a9142717d29898847,59314443582,ENTRY,BUY,6,101.16,0.49,0,0,0.49,CANCELLED,2026-09-04 15:54:10.3541476+00:00,PASS
order_d2e01a236e694c89b52ccf66e65ead7b,59314498647,ENTRY,BUY,5,101.66,0.42,0.42,0.42,0.42,FILLED,2026-09-04 15:55:11.1864555+00:00,PASS
order_bd667a9a23cd463d9a9d7de91313561c,59314509821,TAKE_PROFIT,SELL,5,103.66,0.11,0.11,0.42,0.42,FILLED,2026-09-04 15:55:11.9146306+00:00,FAIL
order_0b86c629f2524220ac0463fb5243712e,59314511608,ENTRY,BUY,6,101.16,0.49,0.03,0.03,0.49,CANCELLED,2026-09-04 15:55:26.3633503+00:00,PASS
